Contract name,Bytesize,Average ETH Price,STD ETH price,Average Gas Fees,STD Gas fees,Average deployment cost (ETH),STD Deployment cost (ETH),Average deployment cost (USD),STD Deployment cost (USD)
AddressUpgradeable.sol,320,3117.279026858329,0.12502352102071893,53000.0,0.0,0.0005373976312599,9.203538310705043e-06,1.673,0.027946377224964267
AggregatorV3Interface.sol,0,3116.6741859993535,0.36572125051150534,21000.0,0.0,0.00020936056707089996,4.8070291511502665e-06,0.6529999999999999,0.01734935157289749
ContextUpgradeable.sol,0,3116.5306804262036,0.137986705600208,21000.0,0.0,0.00021849453132989998,6.013963248818436e-06,0.6829999999999999,0.020024984394500768
Counters.sol,320,3118.326584991981,0.5668417454790129,53000.0,0.0,0.0005359669543108,1.4147205413109054e-05,1.674,0.044542114902640144
ERC165Upgradeable.sol,0,3118.3390208617443,0.14495301142913977,21000.0,0.0,0.0002026706594199,3.934740068578386e-06,0.6319999999999999,0.011661903789690611
ERC721Upgradeable.sol,17916,3118.1167923399807,0.37119712594672616,1812600.0,0.0,0.01810701932429808,0.0008240651545412147,56.458000000000006,2.57031826823061
IERC165Upgradeable.sol,0,3117.41358022784,0.0,21000.0,0.0,0.0002114879323368,6.829333520569044e-06,0.659,0.020712315177207997
IERC721MetadataUpgradeable.sol,0,3118.9350034710083,0.5551826425669458,21000.0,0.0,0.00022352123670449998,4.093629403340056e-06,0.6969999999999998,0.010999999999999992
IERC721ReceiverUpgradeable.sol,0,3119.489217661456,0.12733383724683275,21000.0,0.0,0.00021235360780829998,2.738962407258061e-06,0.664,0.008000000000000007
IERC721Upgradeable.sol,0,3119.640316745044,0.07880095139021512,21000.0,0.0,0.000211125170529,2.2458001026946245e-06,0.6599999999999999,0.008944271909999166
Initializable.sol,0,3120.5928748127235,0.05829103239907454,21000.0,0.0,0.00020553146726280002,2.8774202135369026e-06,0.643,0.009000000000000008
IOtoCoJurisdiction.sol,0,3121.486424788073,1.0020117404854707,21000.0,0.0,0.0002028060947136,4.440776238833008e-06,0.635,0.015000000000000015
IOtoCoMaster.sol,0,3121.9624961639447,0.747671522354949,21000.0,0.0,0.0002162479504752,4.5657829277201686e-06,0.6759999999999999,0.016248076809271886
IOtoCoPlugin.sol,0,3121.601609406471,0.4326964389716365,21000.0,0.0,0.00021591268128359997,9.742708688880316e-07,0.6759999999999999,0.004898979485566361
IOtoCoURI.sol,0,3121.7274172178027,0.10090479100152579,21000.0,0.0,0.0002090370423414,4.218979360910976e-06,0.653,0.015524174696260037
OtoCoMasterV2.sol,47502,3121.931438250294,0.21068850096336508,4771200.0,0.0,0.04934854450128288,0.0020357392468729183,154.06300000000002,6.351447157931805
OwnableUpgradeable.sol,0,3121.8647025925793,0.16355661240419664,21000.0,0.0,0.00022829187858959999,2.1654445957070185e-06,0.7130000000000001,0.009000000000000008
StringsUpgradeable.sol,320,3121.0484762155,0.00793078902140169,53000.0,0.0,0.0005165415124636999,2.8387360103669425e-05,1.611,0.08802840450672722
