Contract name,Bytesize,Average ETH Price,STD ETH price,Average Gas Fees,STD Gas fees,Average deployment cost (ETH),STD Deployment cost (ETH),Average deployment cost (USD),STD Deployment cost (USD)
AddressUpgradeable.sol,320,3111.247546477216,0.136121595215599,53000.0,0.0,0.0005522396511747,3.111014783524306e-06,1.716,0.009165151389911688
ContextUpgradeable.sol,0,3110.9213846601006,0.003308073990696476,21000.0,0.0,0.0002152420512018,9.204779406774061e-07,0.671,0.0030000000000000022
EnumerableSet.sol,320,3111.178337571668,0.5146352985059821,53000.0,0.0,0.0005372188447063001,6.091189023259568e-06,1.671,0.01757839583124696
ERC20BurnableUpgradeable.sol,0,3112.1984053200345,0.014034382097301542,21000.0,0.0,0.00020997155073930002,1.107999344241033e-06,0.6530000000000001,0.004582575694955844
ERC20CappedUpgradeable.sol,0,3111.2621806914767,0.933222414452266,21000.0,0.0,0.00020675463473490002,3.907045296066196e-07,0.6399999999999999,1.1102230246251565e-16
ERC20Gov.sol,27402,3110.329108934758,0.00041389175695933804,2761200.0,0.0,0.027410868577652035,0.0014495438701948966,85.256,4.508450288070171
ERC20PausableUpgradeable.sol,0,3109.603807982341,0.25089300361200206,21000.0,0.0,0.00022844486318009997,1.8291023766471837e-06,0.708,0.008717797887081356
ERC20Upgradeable.sol,9160,3109.0598436259943,0.9035869280176393,937000.0,0.0,0.0098589266051535,0.00017522081324051306,30.650999999999993,0.5514789207213636
IERC20Gov.sol,0,3107.919401593494,0.43400908669575944,21000.0,0.0,0.00022331545515300003,9.596150868307313e-06,0.6950000000000001,0.03170173496829469
IERC20MetadataUpgradeable.sol,0,3109.196763082173,0.6502254930864287,21000.0,0.0,0.0002222530216032,3.7074419487382112e-06,0.6910000000000001,0.011357816691600514
IERC20Upgradeable.sol,0,3109.6224355795302,4.547473508864641e-13,21000.0,0.0,0.00021710241160859998,1.6603398163559076e-06,0.6769999999999999,0.004582575694955844
Initializable.sol,0,3109.160262664472,0.30256320182051705,21000.0,0.0,0.00021151797250500002,8.114052640900656e-07,0.657,0.004582575694955844
Paginator.sol,320,3108.9621885537795,4.547473508864641e-13,53000.0,0.0,0.0005280625657186,2.7039083576598253e-06,1.643,0.004582575694955844
PausableUpgradeable.sol,0,3109.492015698091,0.5562190315301717,21000.0,0.0,0.00020642158386150004,4.565794331869331e-06,0.642,0.014696938456699083
SetHelper.sol,320,3110.081699763668,0.2742988725685006,53000.0,0.0,0.0005257241799659001,3.155576896202908e-05,1.6350000000000002,0.09739096467332069
StringSet.sol,320,3112.300231310458,0.915042306207869,53000.0,0.0,0.0005642333036911999,1.7372315525361656e-05,1.7560000000000002,0.05370288632839026
